first_name,last_name,company_name,address,city,county,state,zip,phone1,phone,email,subject,Email Boby
James,Butt,"Benton, John B Jr",6649 N Blue Gum St,New Orleans,Orleans,LA,70116,504-621-8927,504-845-1427,jbutt@luminate.ai,"When EMVX creation comes the message ""The creation was canceled for hardware reasons"".",I have a nearly unreadable font in my Warehouse Software under Export-File Options for 2 days.Please do contact me at 504-621-8927
Josephine,Darakjy,"Chanay, Jeffrey A Esq",4 B Blue Ridge Blvd,Brighton,Livingston,MI,48116,810-292-9388,810-374-9840,josephine_darakjy@luminate.ai, It falters when processing highly segmented process files.,"On Saturday the version WAREHOUSE Sales firstclass 20 Neo got, after installation it had to be found, that the label of the buttons in the export screen are not readable (eg file format, navigation, compression, font, sorting, etc. the complete caption under File options, Design title page and Design buttons."
Art,Venere,"Chemel, James L Cpa",8 W Cerritos Ave #54,Bridgeport,Gloucester,NJ,8014,856-636-8749,856-264-4130,art@luminate.ai, Cwvemx files falter in Sales firstclass 20,"In export mode, the font in the small preview window in the filemenu is always the same as the font in the header line of the submenu."
Lenna,Paprocki,Feltz Printing Service,639 Main St,Anchorage,Anchorage,AK,99501,907-385-4412,907-921-2010,lpaprocki@luminate.ai," When creating EM / EMVX with Windows 7, it may sometimes be necessary to install an alternative driver for Ethernet card in the device manager.","On my specificationsheet, the text blocks are only displayed as a speech bubble, today I would have had an online presentation of my specification sheet to win a sponsor."
Donette,Foller,Printing Dimensions,34 Center St,Hamilton,Butler,OH,45011,513-570-1893,513-549-4561,donette.foller@luminate.ai, Drivers for the USB Process Manager could not be properly installed,"Since your update come strange bubbles on my sheet to light, but I did not make it!"
Simona,Morasca,"Chapman, Ross E Esq",3 Mcauley Dr,Ashland,Ashland,OH,44805,419-503-2484,419-800-6759,simona@luminate.ai, EM card reader can not be detected via USB port,"on my detailsheet http://www.rhein-main-versand.de since yesterday evening some Calibri texts are replaced by blue speech bubbles (?!), i.a. also the imprint"
Mitsue,Tollner,Morlong Associates,7 Eads St,Chicago,Cook,IL,60632,773-573-6914,773-924-8565,mitsue_tollner@luminate.ai," When opening the program the error message ""the smartcard device ..."" appears.",Unfortunately I can not manage my collections from today. There is nothing more when selecting the corresponding button.
Leota,Dilliard,Commercial Press,7 W Jackson Blvd,San Jose,Santa Clara,CA,95111,408-752-3500,408-813-1105,leota@luminate.ai," When you install the Process Manager driver, you receive the error message ""1133: Unable to finish installation.""","Nevertheless, the online collection opens in a new window, which only reaches half the screen size. D.H., it must be brought to full screen size by hand."
Sage,Wieser,Truhlar And Truhlar Attys,5 Boston Ave #88,Sioux Falls,Minnehaha,SD,57105,605-414-2147,605-794-4895,sage_wieser@luminate.ai," In the profit calculation, the following message appears after entering a period of time: ""Error while parsing the XSL data""","I would like to use the studio version, but I can not exchange the preview images, even though they were deleted in the online organizer - i. E. I have changed the order of the products or deleted products so that the preview always shows the first product, but nothing happens.Reach out me at (541) 754-3010"
Kris,Marrier,"King, Christopher A Esq",228 Runamuck Pl #2808,Baltimore,Baltimore City,MD,21224,410-655-8723,410-804-4694,kris@luminate.ai," The burning stops with the message ""Internal problem"".","Suddenly, data was no longer loaded or only the charging process (circling points) was displayed, texts shifted."
Minna,Amigon,"Dorl, James J Esq",2371 Jerrold Ave,Kulpsville,Montgomery,PA,19443,215-874-1229,215-422-8694,minna_amigon@luminate.ai, Error code -9 when starting the program,At irregular intervals certain products disappear from the article preview.
Abel,Maclead,Rangoni Of Florence,37275 St  Rt 17m M,Middle Island,Suffolk,NY,11953,631-335-3414,631-677-3675,amaclead@luminate.ai, Error 9000 during program installation,"If I want to upload data, statistics or processes under ""Own product range"" and create a new folder, then when I click on the tool, only the selection opens"
Kiley,Caldarera,Feiner Bros,25 E 75th St #69,Los Angeles,Los Angeles,CA,90034,310-498-5651,310-254-3084,kiley.caldarera@luminate.ai, Program does not start. Ends at program interface will be set up.,I no longer have access to the product pallet center. Can not upload any more products.
Graciela,Ruta,Buckley Miller & Wright,98 Connecticut Ave Nw,Chagrin Falls,Geauga,OH,44023,440-780-8425,440-579-7763,gruta@luminate.ai, Error when importing workit PRC files. Type can not be opened.,"If you select the product presentation version in the table presentation, then select Dynamicolisting or Popup when linking, Iso crashes (a script slows Iso 13. Should the script still be executed? ... or something like that). Then it does not matter if you press yes or no, because it comes to the crash: ""The Iso addon crashed"". email me at asergi[at]apple.com"
